pickup_zone,dropoff_zone,pickup_date,passenger_count,trip_distance,total_amount,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_datetime
East Harlem North,Central Harlem,2023-01-21,1.0,0.91,9.4,40.798,-73.937,40.8116,-73.9465,2023-01-21
Morningside Heights,Upper West Side North,2023-01-21,1.0,1.99,20.46,40.81,-73.96,40.787,-73.975,2023-01-21
Brooklyn Heights,East Village,2023-01-21,2.0,6.26,34.55,0.0,0.0,0.0,0.0,2023-01-21
Jackson Heights,North Corona,2023-01-21,1.0,2.22,20.6,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,Upper West Side North,2023-01-21,1.0,2.51,19.68,40.798,-73.937,40.787,-73.975,2023-01-21
Forest Hills,Hillcrest/Pomonok,2023-01-21,1.0,2.8,19.2,0.0,0.0,0.0,0.0,2023-01-21
Forest Hills,Kew Gardens Hills,2023-01-21,1.0,1.87,18.0,0.0,0.0,0.0,0.0,2023-01-21
Central Harlem North,Central Harlem,2023-01-21,6.0,0.93,10.1,0.0,0.0,40.8116,-73.9465,2023-01-21
East Harlem North,Central Harlem,2023-01-21,1.0,1.37,13.8,40.798,-73.937,40.8116,-73.9465,2023-01-21
East Harlem North,Morningside Heights,2023-01-21,1.0,1.66,18.5,40.798,-73.937,40.81,-73.96,2023-01-21
Astoria,Astoria,2023-01-21,1.0,0.76,11.75,0.0,0.0,0.0,0.0,2023-01-21
Forest Hills,Forest Hills,2023-01-21,1.0,1.21,11.5,0.0,0.0,0.0,0.0,2023-01-21
Morningside Heights,East Harlem South,2023-01-21,1.0,2.79,20.52,40.81,-73.96,0.0,0.0,2023-01-21
East Harlem South,East Harlem South,2023-01-21,1.0,0.72,7.92,0.0,0.0,0.0,0.0,2023-01-21
Forest Hills,Forest Hills,2023-01-21,2.0,0.18,10.1,0.0,0.0,0.0,0.0,2023-01-21
Rego Park,Forest Hills,2023-01-21,2.0,1.44,13.8,0.0,0.0,0.0,0.0,2023-01-21
Fort Greene,Prospect-Lefferts Gardens,2023-01-21,1.0,2.91,29.32,0.0,0.0,0.0,0.0,2023-01-21
Elmhurst,Corona,2023-01-21,1.0,1.89,20.2,0.0,0.0,0.0,0.0,2023-01-21
Elmhurst,Forest Hills,2023-01-21,1.0,1.91,16.4,0.0,0.0,0.0,0.0,2023-01-21
Elmhurst,Rego Park,2023-01-21,1.0,3.59,39.5,0.0,0.0,0.0,0.0,2023-01-21
Fort Greene,Gowanus,2023-01-21,1.0,1.08,13.13,0.0,0.0,0.0,0.0,2023-01-21
Queensbridge/Ravenswood,Lenox Hill West,2023-01-21,1.0,2.6,17.05,0.0,0.0,0.0,0.0,2023-01-21
Central Harlem,Morningside Heights,2023-01-21,1.0,1.47,14.04,40.8116,-73.9465,40.81,-73.96,2023-01-21
East Harlem South,Hamilton Heights,2023-01-21,1.0,3.23,20.6,0.0,0.0,0.0,0.0,2023-01-21
Bloomingdale,Upper West Side North,2023-01-21,1.0,0.89,12.15,40.797,-73.97,40.787,-73.975,2023-01-21
Woodside,Long Island City/Hunters Point,2023-01-21,1.0,2.83,24.72,0.0,0.0,0.0,0.0,2023-01-21
Downtown Brooklyn/MetroTech,Clinton Hill,2023-01-21,1.0,0.91,10.1,0.0,0.0,0.0,0.0,2023-01-21
Elmhurst,Elmhurst/Maspeth,2023-01-21,2.0,1.2,10.1,0.0,0.0,0.0,0.0,2023-01-21
Elmhurst,Sunnyside,2023-01-21,1.0,10.0,49.25,0.0,0.0,0.0,0.0,2023-01-21
Fort Greene,Boerum Hill,2023-01-21,1.0,1.19,13.5,0.0,0.0,0.0,0.0,2023-01-21
Fort Greene,Boerum Hill,2023-01-21,1.0,1.4,14.64,0.0,0.0,0.0,0.0,2023-01-21
Fort Greene,Fort Greene,2023-01-21,1.0,1.14,12.0,0.0,0.0,0.0,0.0,2023-01-21
East Harlem South,Times Sq/Theatre District,2023-01-21,1.0,2.85,23.82,0.0,0.0,0.0,0.0,2023-01-21
East Harlem South,Midtown East,2023-01-21,1.0,3.26,21.95,0.0,0.0,0.0,0.0,2023-01-21
Jamaica,Greenwich Village South,2023-01-21,1.0,14.58,95.12,0.0,0.0,0.0,0.0,2023-01-21
Elmhurst/Maspeth,Astoria,2023-01-21,3.0,2.07,16.4,0.0,0.0,0.0,0.0,2023-01-21
Downtown Brooklyn/MetroTech,Clinton Hill,2023-01-21,1.0,1.43,14.64,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,Upper West Side North,2023-01-21,1.0,2.88,25.81,40.798,-73.937,40.787,-73.975,2023-01-21
Upper East Side North,Upper East Side North,2023-01-21,1.0,0.97,12.15,0.0,0.0,0.0,0.0,2023-01-21
Fort Greene,Prospect-Lefferts Gardens,2023-01-21,1.0,3.21,35.1,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,Morrisania/Melrose,2023-01-21,1.0,3.1,22.0,40.798,-73.937,0.0,0.0,2023-01-21
Central Harlem,Murray Hill,2023-01-21,2.0,5.95,39.78,40.8116,-73.9465,0.0,0.0,2023-01-21
Flushing,College Point,2023-01-21,2.0,1.66,13.8,0.0,0.0,0.0,0.0,2023-01-21
Flushing,Jackson Heights,2023-01-21,1.0,3.29,24.1,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,UN/Turtle Bay South,2023-01-21,1.0,5.32,29.65,40.798,-73.937,0.0,0.0,2023-01-21
East Harlem North,Manhattan Valley,2023-01-21,1.0,2.48,17.8,40.798,-73.937,0.0,0.0,2023-01-21
Elmhurst,Elmhurst,2023-01-21,1.0,1.93,12.9,0.0,0.0,0.0,0.0,2023-01-21
Central Park,Manhattan Valley,2023-01-21,1.0,1.57,12.12,40.7812,-73.9665,0.0,0.0,2023-01-21
East Harlem North,Yorkville East,2023-01-21,1.0,2.9,23.63,40.798,-73.937,0.0,0.0,2023-01-21
