pickup_zone,dropoff_zone,pickup_date,passenger_count,trip_distance,total_amount,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_datetime
Rego Park,Corona,2023-01-23,1.0,13.22,83.3,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Yorkville East,2023-01-23,1.0,1.19,17.05,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Manhattan Valley,2023-01-23,1.0,1.05,13.6,0.0,0.0,0.0,0.0,2023-01-23
Brooklyn Heights,East Village,2023-01-23,1.0,5.0,40.8,0.0,0.0,0.0,0.0,2023-01-23
Fort Greene,Crown Heights North,2023-01-23,1.0,2.08,18.9,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,East Harlem South,2023-01-23,5.0,1.26,15.4,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,East Harlem North,2023-01-23,5.0,1.43,14.1,0.0,0.0,40.798,-73.937,2023-01-23
East Harlem South,East Harlem North,2023-01-23,5.0,1.07,10.5,0.0,0.0,40.798,-73.937,2023-01-23
East Harlem North,Central Park,2023-01-23,2.0,3.4,30.18,40.798,-73.937,40.7812,-73.9665,2023-01-23
East Harlem South,Yorkville East,2023-01-23,1.0,1.1,20.06,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Yorkville West,2023-01-23,1.0,1.16,18.27,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Upper West Side North,2023-01-23,1.0,1.57,17.64,0.0,0.0,40.787,-73.975,2023-01-23
Fort Greene,Fort Greene,2023-01-23,1.0,1.06,14.0,0.0,0.0,0.0,0.0,2023-01-23
Fort Greene,Clinton Hill,2023-01-23,1.0,1.34,19.32,0.0,0.0,0.0,0.0,2023-01-23
Jamaica,Outside of NYC,2023-01-23,1.0,6.66,44.62,0.0,0.0,0.0,0.0,2023-01-23
Elmhurst,Elmhurst,2023-01-23,1.0,1.6,7.0,0.0,0.0,0.0,0.0,2023-01-23
Elmhurst,Rego Park,2023-01-23,1.0,0.7,9.8,0.0,0.0,0.0,0.0,2023-01-23
Elmhurst,Woodside,2023-01-23,1.0,1.42,16.8,0.0,0.0,0.0,0.0,2023-01-23
Sheepshead Bay,Sheepshead Bay,2023-01-23,1.0,1.0,14.6,0.0,0.0,0.0,0.0,2023-01-23
Elmhurst,Ozone Park,2023-01-23,1.0,6.56,38.5,0.0,0.0,0.0,0.0,2023-01-23
Astoria,Middle Village,2023-01-23,1.0,4.86,27.3,0.0,0.0,0.0,0.0,2023-01-23
Jamaica,South Jamaica,2023-01-23,1.0,2.13,16.8,0.0,0.0,0.0,0.0,2023-01-23
Forest Hills,Forest Hills,2023-01-23,1.0,1.16,15.4,0.0,0.0,0.0,0.0,2023-01-23
Jamaica,Saint Albans,2023-01-23,3.0,3.19,26.04,0.0,0.0,0.0,0.0,2023-01-23
Downtown Brooklyn/MetroTech,Stuyvesant Heights,2023-01-23,1.0,3.4,29.75,0.0,0.0,0.0,0.0,2023-01-23
Rego Park,Forest Hills,2023-01-23,1.0,6.03,32.25,0.0,0.0,0.0,0.0,2023-01-23
Central Harlem North,East Harlem North,2023-01-23,1.0,1.09,13.0,0.0,0.0,40.798,-73.937,2023-01-23
East Harlem North,Upper West Side North,2023-01-23,1.0,3.16,31.45,40.798,-73.937,40.787,-73.975,2023-01-23
East Harlem South,Upper East Side South,2023-01-23,1.0,2.05,24.51,0.0,0.0,0.0,0.0,2023-01-23
Boerum Hill,Crown Heights North,2023-01-23,1.0,4.32,30.1,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Upper West Side South,2023-01-23,1.0,2.02,22.69,0.0,0.0,0.0,0.0,2023-01-23
Upper East Side North,Upper East Side North,2023-01-23,1.0,0.87,17.29,0.0,0.0,0.0,0.0,2023-01-23
Forest Hills,Jamaica Estates,2023-01-23,1.0,5.04,31.08,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,Lincoln Square East,2023-01-23,1.0,3.7,32.7,40.798,-73.937,0.0,0.0,2023-01-23
East Harlem South,Central Harlem North,2023-01-23,2.0,2.11,19.32,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Lincoln Square West,2023-01-23,2.0,2.55,20.25,0.0,0.0,40.773,-73.984,2023-01-23
East Harlem North,Yorkville West,2023-01-23,1.0,1.9,23.07,40.798,-73.937,0.0,0.0,2023-01-23
East Harlem South,Upper West Side South,2023-01-23,1.0,2.08,25.14,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Upper West Side North,2023-01-23,1.0,1.47,18.42,0.0,0.0,40.787,-73.975,2023-01-23
Morningside Heights,Morningside Heights,2023-01-23,1.0,0.87,10.5,40.81,-73.96,40.81,-73.96,2023-01-23
Central Harlem North,Upper West Side South,2023-01-23,1.0,3.08,29.34,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,Morningside Heights,2023-01-23,1.0,1.93,18.48,40.798,-73.937,40.81,-73.96,2023-01-23
Morningside Heights,Lincoln Square East,2023-01-23,1.0,3.09,33.54,40.81,-73.96,0.0,0.0,2023-01-23
East Harlem South,Yorkville West,2023-01-23,1.0,1.36,17.92,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Yorkville East,2023-01-23,1.0,1.99,23.46,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Yorkville West,2023-01-23,1.0,1.35,16.75,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Upper West Side South,2023-01-23,1.0,1.48,19.26,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,Central Harlem North,2023-01-23,1.0,1.02,11.2,40.798,-73.937,0.0,0.0,2023-01-23
East Harlem North,Central Park,2023-01-23,1.0,1.39,13.3,40.798,-73.937,40.7812,-73.9665,2023-01-23
East Harlem South,Upper West Side South,2023-01-23,1.0,1.93,22.69,0.0,0.0,0.0,0.0,2023-01-23
Elmhurst,North Corona,2023-01-23,1.0,1.33,14.7,0.0,0.0,0.0,0.0,2023-01-23
Elmhurst,Elmhurst,2023-01-23,1.0,0.6,13.0,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,UN/Turtle Bay South,2023-01-23,4.0,5.35,39.42,40.798,-73.937,0.0,0.0,2023-01-23
Forest Hills,Forest Hills,2023-01-23,2.0,1.09,13.3,0.0,0.0,0.0,0.0,2023-01-23
Elmhurst,Hillcrest/Pomonok,2023-01-23,5.0,8.65,39.9,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Upper East Side South,2023-01-23,2.0,1.63,19.85,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Bloomingdale,2023-01-23,2.0,1.57,15.96,0.0,0.0,40.797,-73.97,2023-01-23
Jamaica,Saint Albans,2023-01-23,1.0,3.51,20.16,0.0,0.0,0.0,0.0,2023-01-23
Central Park,Upper East Side North,2023-01-23,1.0,0.74,17.23,40.7812,-73.9665,0.0,0.0,2023-01-23
East Harlem South,Yorkville West,2023-01-23,1.0,0.7,15.0,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Upper East Side South,2023-01-23,1.0,1.89,21.68,0.0,0.0,0.0,0.0,2023-01-23
Elmhurst,Middle Village,2023-01-23,2.0,2.2,23.52,0.0,0.0,0.0,0.0,2023-01-23
Central Harlem,Hamilton Heights,2023-01-23,1.0,1.01,11.2,40.8116,-73.9465,0.0,0.0,2023-01-23
Morningside Heights,Lincoln Square East,2023-01-23,1.0,2.71,34.51,40.81,-73.96,0.0,0.0,2023-01-23
East Harlem South,East Harlem North,2023-01-23,1.0,1.37,14.28,0.0,0.0,40.798,-73.937,2023-01-23
East Harlem South,Upper East Side North,2023-01-23,1.0,0.6,15.06,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,TriBeCa/Civic Center,2023-01-23,1.0,9.33,51.75,0.0,0.0,0.0,0.0,2023-01-23
Woodside,Williamsburg (South Side),2023-01-23,1.0,5.24,37.8,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Lincoln Square West,2023-01-23,1.0,2.97,27.25,0.0,0.0,40.773,-73.984,2023-01-23
East Harlem South,Astoria,2023-01-23,1.0,6.91,46.05,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,Yorkville West,2023-01-23,2.0,2.59,29.34,40.798,-73.937,0.0,0.0,2023-01-23
East Harlem South,Upper East Side North,2023-01-23,1.0,0.9,14.95,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,East Harlem North,2023-01-23,1.0,1.15,16.62,0.0,0.0,40.798,-73.937,2023-01-23
Central Park,Newark Airport,2023-01-23,1.0,25.31,180.85,40.7812,-73.9665,0.0,0.0,2023-01-23
Woodside,Corona,2023-01-23,1.0,2.95,28.56,0.0,0.0,0.0,0.0,2023-01-23
Woodside,Jackson Heights,2023-01-23,1.0,0.69,13.65,0.0,0.0,0.0,0.0,2023-01-23
Jamaica,Rosedale,2023-01-23,1.0,7.26,34.3,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,Bloomingdale,2023-01-23,1.0,2.21,22.68,40.798,-73.937,40.797,-73.97,2023-01-23
Fort Greene,Prospect-Lefferts Gardens,2023-01-23,1.0,3.06,28.98,0.0,0.0,0.0,0.0,2023-01-23
Morningside Heights,Central Harlem,2023-01-23,1.0,0.91,14.28,40.81,-73.96,40.8116,-73.9465,2023-01-23
Washington Heights South,Morningside Heights,2023-01-23,1.0,3.28,23.34,0.0,0.0,40.81,-73.96,2023-01-23
Central Park,Yorkville East,2023-01-23,1.0,1.76,22.62,40.7812,-73.9665,0.0,0.0,2023-01-23
Central Park,Upper West Side North,2023-01-23,1.0,1.14,15.12,40.7812,-73.9665,40.787,-73.975,2023-01-23
East Harlem North,East Harlem South,2023-01-23,1.0,1.0,11.9,40.798,-73.937,0.0,0.0,2023-01-23
Central Harlem North,Hamilton Heights,2023-01-23,1.0,1.48,14.0,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,East Harlem South,2023-01-23,1.0,1.77,18.38,40.798,-73.937,0.0,0.0,2023-01-23
East Harlem North,East Harlem South,2023-01-23,1.0,0.84,10.5,40.798,-73.937,0.0,0.0,2023-01-23
East Harlem North,East Harlem South,2023-01-23,1.0,1.08,11.2,40.798,-73.937,0.0,0.0,2023-01-23
Forest Hills,Richmond Hill,2023-01-23,1.0,2.42,25.2,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Times Sq/Theatre District,2023-01-23,1.0,3.55,30.18,0.0,0.0,0.0,0.0,2023-01-23
Forest Hills,Kew Gardens Hills,2023-01-23,5.0,1.57,21.8,0.0,0.0,0.0,0.0,2023-01-23
Central Harlem,Morningside Heights,2023-01-23,1.0,1.18,13.3,40.8116,-73.9465,40.81,-73.96,2023-01-23
Central Park,Central Park,2023-01-23,1.0,2.62,34.94,40.7812,-73.9665,40.7812,-73.9665,2023-01-23
Downtown Brooklyn/MetroTech,Brooklyn Heights,2023-01-23,5.0,0.98,15.4,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Upper West Side North,2023-01-23,1.0,1.77,21.78,0.0,0.0,40.787,-73.975,2023-01-23
Morningside Heights,Upper East Side North,2023-01-23,1.0,3.08,30.18,40.81,-73.96,0.0,0.0,2023-01-23
East Harlem South,East Harlem North,2023-01-23,1.0,1.23,14.28,0.0,0.0,40.798,-73.937,2023-01-23
East Harlem North,Mott Haven/Port Morris,2023-01-23,1.0,1.91,25.2,40.798,-73.937,0.0,0.0,2023-01-23
Elmhurst,Elmhurst,2023-01-23,1.0,1.21,14.0,0.0,0.0,0.0,0.0,2023-01-23
Fort Greene,Park Slope,2023-01-23,1.0,1.2,17.4,0.0,0.0,0.0,0.0,2023-01-23
Central Park,Upper West Side North,2023-01-23,1.0,1.66,19.15,40.7812,-73.9665,40.787,-73.975,2023-01-23
Fort Greene,Prospect Heights,2023-01-23,1.0,1.35,17.4,0.0,0.0,0.0,0.0,2023-01-23
Brooklyn Heights,Little Italy/NoLiTa,2023-01-23,1.0,2.62,22.35,0.0,0.0,0.0,0.0,2023-01-23
Fort Greene,Bedford,2023-01-23,1.0,1.38,20.28,0.0,0.0,0.0,0.0,2023-01-23
Astoria,Astoria,2023-01-23,1.0,2.0,17.5,0.0,0.0,0.0,0.0,2023-01-23
Central Park,Financial District North,2023-01-23,5.0,8.92,48.35,40.7812,-73.9665,0.0,0.0,2023-01-23
Elmhurst,Elmhurst/Maspeth,2023-01-23,1.0,0.98,10.5,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,Upper East Side North,2023-01-23,2.0,1.9,20.9,40.798,-73.937,0.0,0.0,2023-01-23
East Harlem South,Yorkville West,2023-01-23,1.0,1.0,14.25,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,Lenox Hill West,2023-01-23,1.0,3.14,25.15,40.798,-73.937,0.0,0.0,2023-01-23
East Harlem North,Central Harlem,2023-01-23,1.0,1.4,15.3,40.798,-73.937,40.8116,-73.9465,2023-01-23
Washington Heights South,Meatpacking/West Village West,2023-01-23,1.0,8.4,49.5,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Central Harlem,2023-01-23,1.0,1.36,12.9,0.0,0.0,40.8116,-73.9465,2023-01-23
Central Harlem,East Harlem North,2023-01-23,1.0,0.8,11.9,40.8116,-73.9465,40.798,-73.937,2023-01-23
Fort Greene,Bedford,2023-01-23,2.0,1.75,21.0,0.0,0.0,0.0,0.0,2023-01-23
Fort Greene,World Trade Center,2023-01-23,2.0,3.23,28.5,0.0,0.0,0.0,0.0,2023-01-23
East Concourse/Concourse Village,East Concourse/Concourse Village,2023-01-23,2.0,2.17,10.0,0.0,0.0,0.0,0.0,2023-01-23
Central Park,Upper West Side South,2023-01-23,1.0,1.86,20.07,40.7812,-73.9665,0.0,0.0,2023-01-23
East Harlem South,Upper East Side North,2023-01-23,6.0,1.69,17.75,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Central Harlem,2023-01-23,6.0,1.29,14.49,0.0,0.0,40.8116,-73.9465,2023-01-23
Kew Gardens,Richmond Hill,2023-01-23,1.0,1.98,16.8,0.0,0.0,0.0,0.0,2023-01-23
Central Park,Upper West Side North,2023-01-23,1.0,0.92,15.9,40.7812,-73.9665,40.787,-73.975,2023-01-23
Central Park,Upper West Side South,2023-01-23,1.0,1.9,18.45,40.7812,-73.9665,0.0,0.0,2023-01-23
Central Harlem,Central Harlem North,2023-01-23,1.0,1.6,10.5,40.8116,-73.9465,0.0,0.0,2023-01-23
Washington Heights South,Midtown North,2023-01-23,2.0,6.9,44.55,0.0,0.0,0.0,0.0,2023-01-23
Washington Heights South,Central Harlem,2023-01-23,5.0,3.0,21.7,0.0,0.0,40.8116,-73.9465,2023-01-23
Washington Heights South,TriBeCa/Civic Center,2023-01-23,1.0,9.43,55.38,0.0,0.0,0.0,0.0,2023-01-23
Forest Hills,Briarwood/Jamaica Hills,2023-01-23,1.0,1.63,12.6,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Yorkville East,2023-01-23,1.0,1.57,20.94,0.0,0.0,0.0,0.0,2023-01-23
DUMBO/Vinegar Hill,Brooklyn Heights,2023-01-23,2.0,1.16,15.3,0.0,0.0,0.0,0.0,2023-01-23
Rego Park,Forest Hills,2023-01-23,1.0,0.78,11.9,0.0,0.0,0.0,0.0,2023-01-23
Astoria,Steinway,2023-01-23,1.0,2.07,27.2,0.0,0.0,0.0,0.0,2023-01-23
Steinway,Old Astoria,2023-01-23,2.0,1.23,12.6,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,East Harlem South,2023-01-23,1.0,1.35,16.62,40.798,-73.937,0.0,0.0,2023-01-23
East Harlem North,Manhattan Valley,2023-01-23,1.0,2.3,16.2,40.798,-73.937,0.0,0.0,2023-01-23
Astoria,Old Astoria,2023-01-23,1.0,1.15,11.9,0.0,0.0,0.0,0.0,2023-01-23
Astoria,Steinway,2023-01-23,1.0,1.07,11.9,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Yorkville West,2023-01-23,1.0,0.52,10.8,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,East Harlem North,2023-01-23,1.0,1.4,13.68,0.0,0.0,40.798,-73.937,2023-01-23
Elmhurst,Corona,2023-01-23,1.0,2.29,18.9,0.0,0.0,0.0,0.0,2023-01-23
Jamaica,Fresh Meadows,2023-01-23,1.0,6.86,38.64,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,Upper West Side North,2023-01-23,1.0,2.77,19.26,40.798,-73.937,40.787,-73.975,2023-01-23
Central Park,Lenox Hill West,2023-01-23,1.0,1.5,22.65,40.7812,-73.9665,0.0,0.0,2023-01-23
East Harlem South,Morningside Heights,2023-01-23,1.0,2.99,22.68,0.0,0.0,40.81,-73.96,2023-01-23
East Harlem North,Upper East Side North,2023-01-23,1.0,1.73,17.45,40.798,-73.937,0.0,0.0,2023-01-23
DUMBO/Vinegar Hill,JFK Airport,2023-01-23,2.0,27.22,142.62,0.0,0.0,0.0,0.0,2023-01-23
Williamsburg (North Side),Greenwich Village South,2023-01-23,3.0,4.13,33.54,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Lincoln Square East,2023-01-23,1.0,2.1,19.15,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Upper West Side North,2023-01-23,1.0,1.0,13.4,0.0,0.0,40.787,-73.975,2023-01-23
East Harlem South,Yorkville East,2023-01-23,1.0,1.9,21.75,0.0,0.0,0.0,0.0,2023-01-23
Astoria,Long Island City/Queens Plaza,2023-01-23,5.0,1.65,19.0,0.0,0.0,0.0,0.0,2023-01-23
Elmhurst,Elmhurst,2023-01-23,1.0,0.43,9.1,0.0,0.0,0.0,0.0,2023-01-23
Elmhurst,Jackson Heights,2023-01-23,1.0,1.99,20.3,0.0,0.0,0.0,0.0,2023-01-23
Astoria,Old Astoria,2023-01-23,2.0,1.24,15.75,0.0,0.0,0.0,0.0,2023-01-23
Morningside Heights,Central Harlem,2023-01-23,1.0,0.75,11.5,40.81,-73.96,40.8116,-73.9465,2023-01-23
East Harlem North,Central Harlem North,2023-01-23,1.0,0.76,12.0,40.798,-73.937,0.0,0.0,2023-01-23
Elmhurst,Jackson Heights,2023-01-23,1.0,0.72,10.5,0.0,0.0,0.0,0.0,2023-01-23
Upper East Side North,Upper East Side South,2023-01-23,1.0,1.89,22.48,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Upper East Side North,2023-01-23,1.0,1.02,16.23,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,Upper East Side North,2023-01-23,1.0,2.51,20.95,40.798,-73.937,0.0,0.0,2023-01-23
Rego Park,Elmhurst,2023-01-23,2.0,1.54,16.1,0.0,0.0,0.0,0.0,2023-01-23
Jackson Heights,North Corona,2023-01-23,2.0,1.89,19.6,0.0,0.0,0.0,0.0,2023-01-23
East Elmhurst,Jackson Heights,2023-01-23,1.0,1.13,13.3,0.0,0.0,0.0,0.0,2023-01-23
Queensbridge/Ravenswood,Queensbridge/Ravenswood,2023-01-23,1.0,1.18,14.28,0.0,0.0,0.0,0.0,2023-01-23
Forest Hills,Middle Village,2023-01-23,1.0,2.31,23.62,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Yorkville West,2023-01-23,1.0,1.23,16.05,0.0,0.0,0.0,0.0,2023-01-23
Fort Greene,Kensington,2023-01-23,1.0,4.17,34.58,0.0,0.0,0.0,0.0,2023-01-23
Fort Greene,Bushwick South,2023-01-23,1.0,3.43,24.0,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,Central Park,2023-01-23,1.0,2.67,23.46,40.798,-73.937,40.7812,-73.9665,2023-01-23
Central Park,Upper West Side North,2023-01-23,1.0,0.74,11.76,40.7812,-73.9665,40.787,-73.975,2023-01-23
Fort Greene,Stuyvesant Heights,2023-01-23,1.0,3.6,27.9,0.0,0.0,0.0,0.0,2023-01-23
Elmhurst,Corona,2023-01-23,2.0,1.2,11.9,0.0,0.0,0.0,0.0,2023-01-23
Sheepshead Bay,Sheepshead Bay,2023-01-23,1.0,1.28,13.6,0.0,0.0,0.0,0.0,2023-01-23
Elmhurst,Elmhurst/Maspeth,2023-01-23,1.0,0.55,9.8,0.0,0.0,0.0,0.0,2023-01-23
Jamaica,South Jamaica,2023-01-23,1.0,1.96,18.1,0.0,0.0,0.0,0.0,2023-01-23
Fort Greene,Prospect-Lefferts Gardens,2023-01-23,1.0,2.76,25.2,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Central Park,2023-01-23,1.0,1.27,15.75,0.0,0.0,40.7812,-73.9665,2023-01-23
East Harlem North,Washington Heights South,2023-01-23,1.0,3.62,27.72,40.798,-73.937,0.0,0.0,2023-01-23
Central Harlem North,Manhattan Valley,2023-01-23,1.0,2.65,23.52,0.0,0.0,0.0,0.0,2023-01-23
Central Park,Clinton East,2023-01-23,1.0,2.86,25.65,40.7812,-73.9665,0.0,0.0,2023-01-23
Central Harlem North,Central Harlem North,2023-01-23,1.0,0.02,7.0,0.0,0.0,0.0,0.0,2023-01-23
Central Harlem,East Harlem South,2023-01-23,1.0,1.55,16.0,40.8116,-73.9465,0.0,0.0,2023-01-23
Elmhurst,Elmhurst/Maspeth,2023-01-23,1.0,1.21,14.7,0.0,0.0,0.0,0.0,2023-01-23
Long Island City/Queens Plaza,Steinway,2023-01-23,1.0,2.62,18.2,0.0,0.0,0.0,0.0,2023-01-23
Central Park,East Harlem North,2023-01-23,1.0,1.59,17.29,40.7812,-73.9665,40.798,-73.937,2023-01-23
East Harlem North,Central Park,2023-01-23,1.0,2.69,25.14,40.798,-73.937,40.7812,-73.9665,2023-01-23
East Harlem South,Yorkville West,2023-01-23,1.0,1.78,18.15,0.0,0.0,0.0,0.0,2023-01-23
Central Park,UN/Turtle Bay South,2023-01-23,1.0,3.3,25.75,40.7812,-73.9665,0.0,0.0,2023-01-23
East Harlem North,Yorkville East,2023-01-23,1.0,2.64,22.35,40.798,-73.937,0.0,0.0,2023-01-23
Elmhurst,East Elmhurst,2023-01-23,1.0,4.46,23.8,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,Upper West Side South,2023-01-23,1.0,3.36,28.92,40.798,-73.937,0.0,0.0,2023-01-23
East Harlem North,Bloomingdale,2023-01-23,3.0,1.67,15.4,40.798,-73.937,40.797,-73.97,2023-01-23
Forest Hills,Kew Gardens Hills,2023-01-23,1.0,1.25,15.75,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,TriBeCa/Civic Center,2023-01-23,2.0,7.74,46.25,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,Clinton East,2023-01-23,1.0,5.0,34.45,40.798,-73.937,0.0,0.0,2023-01-23
Central Park,Yorkville West,2023-01-23,1.0,1.23,19.26,40.7812,-73.9665,0.0,0.0,2023-01-23
Central Park,Lincoln Square East,2023-01-23,1.0,2.73,27.66,40.7812,-73.9665,0.0,0.0,2023-01-23
East Harlem South,Central Harlem North,2023-01-23,1.0,2.89,24.5,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,Washington Heights South,2023-01-23,1.0,2.46,18.2,40.798,-73.937,0.0,0.0,2023-01-23
Central Park,Upper West Side South,2023-01-23,1.0,2.23,23.46,40.7812,-73.9665,0.0,0.0,2023-01-23
East Harlem South,Upper West Side South,2023-01-23,1.0,2.09,25.41,0.0,0.0,0.0,0.0,2023-01-23
Central Park,Lincoln Square West,2023-01-23,2.0,2.23,19.55,40.7812,-73.9665,40.773,-73.984,2023-01-23
Downtown Brooklyn/MetroTech,Fort Greene,2023-01-23,1.0,1.39,15.75,0.0,0.0,0.0,0.0,2023-01-23
Central Harlem,Morningside Heights,2023-01-23,1.0,1.01,14.28,40.8116,-73.9465,40.81,-73.96,2023-01-23
Morningside Heights,Lincoln Square East,2023-01-23,1.0,2.57,28.5,40.81,-73.96,0.0,0.0,2023-01-23
Morningside Heights,East Village,2023-01-23,1.0,7.6,48.66,40.81,-73.96,0.0,0.0,2023-01-23
Central Park,East Harlem South,2023-01-23,1.0,1.13,14.28,40.7812,-73.9665,0.0,0.0,2023-01-23
Washington Heights South,Lincoln Square West,2023-01-23,1.0,5.38,38.44,0.0,0.0,40.773,-73.984,2023-01-23
Washington Heights South,Hamilton Heights,2023-01-23,1.0,1.46,14.7,0.0,0.0,0.0,0.0,2023-01-23
Washington Heights South,Lower East Side,2023-01-23,1.0,12.02,56.45,0.0,0.0,0.0,0.0,2023-01-23
Central Harlem,East Harlem North,2023-01-23,1.0,0.6,9.8,40.8116,-73.9465,40.798,-73.937,2023-01-23
East Harlem North,Central Harlem North,2023-01-23,1.0,1.6,14.0,40.798,-73.937,0.0,0.0,2023-01-23
Central Harlem North,Hamilton Heights,2023-01-23,1.0,0.9,11.2,0.0,0.0,0.0,0.0,2023-01-23
Elmhurst,Elmhurst,2023-01-23,2.0,0.24,8.4,0.0,0.0,0.0,0.0,2023-01-23
Forest Hills,Kew Gardens,2023-01-23,1.0,1.09,12.2,0.0,0.0,0.0,0.0,2023-01-23
Forest Hills,Forest Hills,2023-01-23,1.0,0.61,10.5,0.0,0.0,0.0,0.0,2023-01-23
Central Harlem,Manhattanville,2023-01-23,1.0,0.78,11.2,40.8116,-73.9465,0.0,0.0,2023-01-23
Woodside,Bedford,2023-01-23,5.0,5.97,32.8,0.0,0.0,0.0,0.0,2023-01-23
Forest Hills,Woodhaven,2023-01-23,1.0,3.18,25.2,0.0,0.0,0.0,0.0,2023-01-23
Central Park,Midtown South,2023-01-23,1.0,3.25,29.34,40.7812,-73.9665,0.0,0.0,2023-01-23
Forest Hills,Richmond Hill,2023-01-23,5.0,2.58,21.84,0.0,0.0,0.0,0.0,2023-01-23
Central Park,Alphabet City,2023-01-23,1.0,5.53,37.44,40.7812,-73.9665,0.0,0.0,2023-01-23
Downtown Brooklyn/MetroTech,Columbia Street,2023-01-23,5.0,1.27,15.0,0.0,0.0,0.0,0.0,2023-01-23
Jamaica,,2023-01-23,1.0,25.56,190.97,0.0,0.0,0.0,0.0,2023-01-23
Upper East Side North,Lenox Hill West,2023-01-23,1.0,1.88,22.5,0.0,0.0,0.0,0.0,2023-01-23
DUMBO/Vinegar Hill,Downtown Brooklyn/MetroTech,2023-01-23,1.0,0.89,11.64,0.0,0.0,0.0,0.0,2023-01-23
Downtown Brooklyn/MetroTech,East Flatbush/Farragut,2023-01-23,1.0,4.66,32.6,0.0,0.0,0.0,0.0,2023-01-23
Old Astoria,Old Astoria,2023-01-23,1.0,1.29,11.8,0.0,0.0,0.0,0.0,2023-01-23
East Harlem South,Yorkville East,2023-01-23,1.0,2.1,22.55,0.0,0.0,0.0,0.0,2023-01-23
Central Park,Upper West Side North,2023-01-23,1.0,1.2,12.6,40.7812,-73.9665,40.787,-73.975,2023-01-23
Central Harlem,Manhattanville,2023-01-23,1.0,1.2,7.8,40.8116,-73.9465,0.0,0.0,2023-01-23
Forest Hills,Corona,2023-01-23,1.0,1.86,20.0,0.0,0.0,0.0,0.0,2023-01-23
East Harlem North,East Harlem North,2023-01-23,1.0,0.41,9.5,40.798,-73.937,40.798,-73.937,2023-01-23
Washington Heights South,Financial District North,2023-01-23,1.0,14.0,69.54,0.0,0.0,0.0,0.0,2023-01-23
Central Park,Upper East Side North,2023-01-23,1.0,0.68,12.42,40.7812,-73.9665,0.0,0.0,2023-01-23
East Harlem South,Midtown South,2023-01-23,1.0,3.36,30.44,0.0,0.0,0.0,0.0,2023-01-23
Fort Greene,Fort Greene,2023-01-23,2.0,0.94,11.8,0.0,0.0,0.0,0.0,2023-01-23
Jackson Heights,Middle Village,2023-01-23,3.0,3.69,22.3,0.0,0.0,0.0,0.0,2023-01-23
Morningside Heights,Morningside Heights,2023-01-23,1.0,0.72,8.3,40.81,-73.96,40.81,-73.96,2023-01-23
East Harlem South,Yorkville West,2023-01-23,1.0,1.37,13.85,0.0,0.0,0.0,0.0,2023-01-23
